ppu_ctrl1_val                              00000009   
ppu_ctrl2_val                              0000000A   
FrameCounter                               0000000B   
FrameCounter_Even                          0000000C   
Level_tmp                                  0000000D   
Continues_Player1                          0000000E   
Continues_Player2                          0000000F   
Level_ID                                   00000010   
Lives_Player1                              00000011   
Lives_Player2                              00000012   
JumpTable_ptr_main                         00000013   
tmp_var_15                                 00000015   
jump_ptr_nmi                               00000023   
RandomValue_1                              00000025   
RandomValue_2                              00000026   
RandomValue_3                              00000027   
RandomValue_4                              00000028   
InputHold_P1                               00000029   
InputHold_P2                               0000002A   
InputTap_P1                                0000002B   
InputTap_P2                                0000002C   
previous_bankID                            0000002D   
previous_bankID_NMI                        0000002E   
stackp_save                                0000002F   
vram_inc_for_maps                          00000030   
music_id                                   00000032   
music_speed                                00000033   
music_id_ror                               00000034   
sound_ptr                                  00000037   
tmp_var_39                                 00000039   
tmp_var_snds                               0000003A   
prev_bank_id_m                             0000003E   
wait_after_pcm_cnt                         0000003F   
nmi_flag_xz                                00000040   
music_id__                                 00000042   
jump_ptr_pcm                               00000045   
music_id_                                  0000004F   
palette                                    00000055   
bg_pal_color1                              00000056   
bg_pal_color2                              00000057   
bg_pal_color3                              00000058   
bg_pal_color5                              0000005A   
bg_pal_color7                              0000005C   
bg_pal_color15                             00000064   
spr_pal_color1                             00000066   
spr_pal_color14                            00000073   
spr_pal_color15                            00000074   
NMI_Areg_saver                             00000075   
NMI_Xreg_saver                             00000076   
NMI_Yreg_saver                             00000077   
Obj_Amindata1_tmp                          00000078   
Obj_Amindata2_tmp                          00000079   
Obj_Amindata3_tmp                          0000007A   
bank5_yreg_saver                           00000080   
global_var_cnt?                            00000081   
Object_RamSlotID_tmp                       00000082   
Vscroll_value                              00000083   
Vscroll_plus_BG_Y                          00000084   
some_ppu_adrh                              00000085   
some_ppu_adrl                              00000086   
Camera_X_pos_l                             00000087   
Camera_X_pos_H                             00000088   
Camera_Y_pos_l                             00000089   
Camera_Y_pos_H                             0000008A   
tmp_var_8b                                 0000008B   
tmp_var_8c                                 0000008C   
tmp_var_8d                                 0000008D   
tmp_var_8e                                 0000008E   
tmp_var_8F                                 0000008F   
tmp_var_90                                 00000090   
cam_X_sbc?                                 00000093   
cam_Y_sbc?                                 00000094   
upd_gfx_flag2                              00000095   
ppu_adr_unk_H                              00000096   
ppu_adr_map_h                              00000097   
ppu_adr_map_l                              00000098   
tmp_var_99                                 00000099   
tmp_var_9A                                 0000009A   
tmp_var_9B                                 0000009B   
gfxcopy_vram_ptrh                          0000009C   
gfxcopy_vram_ptrl                          0000009D   
obj_slotIDs_for_spr                        0000009E   
obj_ZposL_tmp                              000000AD   
obj_ZposH_tmp                              000000AE   
Obj_Z_floor_tmp                            000000AF   
tmp_var_b1                                 000000B1   
camera_lock_cnt                            000000B2   
ppu_dat_lenght                             000000B3   
ppu_wait_lenght                            000000B4   
unkn_cnt3                                  000000B5   
unkn_cnt2                                  000000B6   
LevelCfgAdr_L                              000000B7   
LevelCfgAdr_H                              000000B8   
global_counter                             000000B9   
global_flags                               000000BA   
four_values_unk                            000000BB   
rev_tower_Xl                               000000BC   
rev_tower_XH                               000000BD   
inc_to_xh                                  000000BE   
inc_to_xl                                  000000BF   
cnt_to_xz                                  000000C0   
check_xz0                                  000000C2   
level_map1_adrL                            000000C3   
level_map1_adrH                            000000C4   
level_map2_adrL                            000000C5   
level_map2_adrH                            000000C6   
X_block_lenght                             000000C7   
tmp_var_c8                                 000000C8   
pal_reduce_value                           000000C9   
pal_offset                                 000000CB   
scroll_value2?                             000000CC   
update_p1_p2_gfx                           000000CD   
timer_cont_scrn_sec                        000000CE   
timer_cont_scrn_60                         000000CF   
update_ui_flag                             000000D0   
flag_boss_1                                000000D1   
lvl_moving?                                000000D2   
camera_speed?                              000000D3   
bikes_speed_sub                            000000D4   
bikes_speed                                000000D5   
bikes_acc_cnt                              000000D6   
gfx_buff_off                               000000D7   
some_lvl_flag_cnt                          000000D9   
some_for_Z?                                000000DA   
some_counter                               000000DB   
some_sound_flag                            000000DC   
some_anim_tmp?                             000000DD   
hit_Z_table_index                          000000DE   
tmp_var_df                                 000000DF   
tmp_var_e0                                 000000E0   
tmp_var_e1                                 000000E1   
tmp_var_e2                                 000000E2   
turbotunnel_X_flag                         000000E3   
stop_scroll_flag                           000000E4   
Level_CfgAdr_new                           000000E5   
Level_CfgAdr_newH                          000000E6   
tunnel_unk_p1                              000000E7   
tunnel_unk_p2                              000000E8   
players_cnt_unk                            000000E9   
timer_end_music                            000000EB   
cnt_unk_pl1                                000000EC   
cnt_unk_pl2                                000000ED   
counter                                    000000EE   
obj_cnt_tmp?                               000000EF   
rest_point_id                              000000F0   
ptr_to_some_gfx                            000000F1   
ptr_to_some_gfxi                           000000F2   
rat_slot_id                                000000F3   
game_end_caller_var                        000000F4   
count_of_xz_snd                            000000F5   
pause_flag                                 000000F6   
pause_snd_cnt1                             000000F7   
pause_snd_cnt2                             000000F8   
load_flag2?                                000000FD   
cont_screen_cnt                            000000FE   
second_load                                000000FF   
stack_100                                  00000100   
attributes_buff                            00000120   
block_tiles_buff                           00000160   
tmap_adr_h                                 00000178   
tmap_adr_l                                 0000017C   
levelr?                                    0000019F   
stack_1fd                                  000001FD   
Sprites_Ypos                               00000200   
Sprites_Adress                             00000201   
Sprites_Attrib                             00000202   
Sprites_Xpos                               00000203   
sprite2_Ypos                               00000204   
sprite2_adress                             00000205   
sprite2_attrib                             00000206   
sprite2_Xpos                               00000207   
sprite6_adress                             00000215   
sprite7_adress                             00000219   
sprite14_adress                            00000235   
sprite15_Ypos                              00000238   
sprite15_adress                            00000239   
sprite15_attrib                            0000023A   
sprite15_Xpos                              0000023B   
sounds_ids2                                00000301   
sounds_ids2_2                              00000302   
sounds_ids2_3                              00000303   
sounds_ids2_4                              00000304   
sounds_ids                                 00000311   
sounds_ids_2                               00000312   
sounds_ids_3                               00000313   
sounds_ids_4                               00000314   
sound_id_D                                 0000031D   
sounds_r_4000                              00000321   
sounds_r_4001_                             00000322   
sounds_r_4002                              00000323   
sounds_r_4003                              00000324   
sound_reg_4000                             00000331   
sound_reg_4001                             00000332   
sound_reg_4002                             00000333   
sound_reg_4003                             00000334   
sounds_r_4001                              00000352   
snd_some_lastvar                           000003B0   
players_obj_unk1                           000003B1   
player1_eye_clos                           000003B3   
player1_obj_wanted_frame                   000003B5   
player2_obj_wanted_frame                   000003B6   
players_obj_un5                            000003B7   
players_tongue_dir                         000003B9   
players_obj_un3                            000003BB   
players_obj_un2                            000003BD   
players_obj_unk                            000003BF   
Objects_TypeID                             000003C1   
player2_TypeID                             000003C2   
Objects_gfx_frame                          000003D0   
player2_gfx_frame                          000003D1   
Obj_various_cnt                            000003DF   
Object15_unk_cnt                           000003ED   
Objects_Xpos_H                             000003EE   
player2_Xpos_H                             000003EF   
Object14_Xpos_H                            000003FC   
Objects_Xpos_L                             000003FD   
player2_Xpos_L                             000003FE   
object_3_Xpos_L                            000003FF   
Objects_Ypos_H                             0000040C   
player2_Ypos_H                             0000040D   
Objects_Ypos_L                             0000041B   
player2_Ypos_L                             0000041C   
Objects_Zpos_H                             0000042A   
player2_Zpos_H                             0000042B   
object_3_Zpos_H                            0000042C   
Objects_Zpos_L                             00000439   
player2_Zpos_L                             0000043A   
object_3_Zpos_L                            0000043B   
Objects_X_sub                              00000448   
Objects_Y_sub                              00000457   
Objects_Z_sub                              00000466   
object3_Z_sub                              00000468   
Objects_Z_floor                            00000475   
player2_Z_floor                            00000476   
Objects_X_shadow                           00000484   
player2_X_shadow                           00000485   
object3_X_shadow                           00000486   
Objects_Y_shad                             00000493   
player2_Y_shadow                           00000494   
object3_Y_shadow                           00000495   
Objects_Flags                              000004A2   
player2_flags                              000004A3   
Objects_state                              000004B1   
player2_state                              000004B2   
Objects_Z_speed                            000004C0   
player2_Z_speed                            000004C1   
object3_Z_speed                            000004C2   
Objects_Z_spd_sub                          000004CF   
player2_Z_spd_sub                          000004D1   
Objects_unk_cnt2                           000004DE   
Objects_unk2                               000004ED   
Objects_AnimID                             000004FC   
player2_AnimID                             000004FD   
Objects_Anim_Ptr                           0000050B   
Objects_Life                               0000051A   
player2_Life                               0000051B   
Objects_Linker_ID                          00000529   
player2_Linker2_ID                         0000052A   
